,Edit,Resistance Dist.,DeltaCon,NetSimile,Lambda (Adjacency),Lambda (Laplacian),Lambda (Normalized Laplacian)
0,0.0002219676971435547,0.0071370601654052734,0.0031900405883789062,0.20867276191711426,0.011837959289550781,0.012045860290527344,0.011658906936645508
1,9.799003601074219e-05,0.0069980621337890625,0.003913164138793945,0.23319697380065918,0.010657072067260742,0.010953187942504883,0.013625860214233398
2,9.703636169433594e-05,0.007148027420043945,0.003665924072265625,0.21476507186889648,0.011120080947875977,0.010303020477294922,0.012165069580078125
3,0.0007619857788085938,0.006760120391845703,0.003269195556640625,0.22272682189941406,0.01080775260925293,0.011308908462524414,0.012212991714477539
4,8.511543273925781e-05,0.006941080093383789,0.008571147918701172,0.2362070083618164,0.011349678039550781,0.012265920639038086,0.013137102127075195
5,8.296966552734375e-05,0.006948232650756836,0.00487208366394043,0.21880483627319336,0.01653289794921875,0.012345075607299805,0.011891841888427734
6,7.081031799316406e-05,0.0067310333251953125,0.0037212371826171875,0.19940185546875,0.013648033142089844,0.010551214218139648,0.012145042419433594
7,0.00042891502380371094,0.006659030914306641,0.0029120445251464844,0.21255183219909668,0.01165318489074707,0.012459993362426758,0.011991024017333984
8,8.797645568847656e-05,0.006229877471923828,0.0038573741912841797,0.24088239669799805,0.011719942092895508,0.011568069458007812,0.011909246444702148
9,0.00014901161193847656,0.0070149898529052734,0.0036432743072509766,0.25588083267211914,0.019025087356567383,0.010723114013671875,0.011824846267700195
10,8.916854858398438e-05,0.0067081451416015625,0.005223989486694336,0.20601487159729004,0.015120744705200195,0.01144099235534668,0.011835098266601562
11,7.700920104980469e-05,0.006713151931762695,0.005415916442871094,0.22481799125671387,0.011367082595825195,0.01146697998046875,0.01199483871459961
12,9.298324584960938e-05,0.00666499137878418,0.0033559799194335938,0.23390603065490723,0.017177104949951172,0.010888814926147461,0.013055086135864258
13,8.296966552734375e-05,0.006707906723022461,0.003837108612060547,0.19376611709594727,0.012295961380004883,0.010581016540527344,0.012032032012939453
14,9.703636169433594e-05,0.006710052490234375,0.003397226333618164,0.20795702934265137,0.011126995086669922,0.010821104049682617,0.01188039779663086
15,8.392333984375e-05,0.007246732711791992,0.0027227401733398438,0.20586204528808594,0.013425111770629883,0.010638236999511719,0.013487815856933594
16,8.988380432128906e-05,0.007241964340209961,0.0034880638122558594,0.20866775512695312,0.011521100997924805,0.012085914611816406,0.011474847793579102
17,8.296966552734375e-05,0.006766796112060547,0.0040781497955322266,0.22115707397460938,0.011230945587158203,0.010522127151489258,0.011854887008666992
18,7.82012939453125e-05,0.0069539546966552734,0.0033559799194335938,0.21234607696533203,0.011108875274658203,0.01067805290222168,0.011548280715942383
19,9.393692016601562e-05,0.006719112396240234,0.0026717185974121094,0.20064520835876465,0.017882823944091797,0.010190010070800781,0.011640071868896484
20,8.702278137207031e-05,0.0068111419677734375,0.006530046463012695,0.18901991844177246,0.011986017227172852,0.010394096374511719,0.011662006378173828
21,8.797645568847656e-05,0.006563901901245117,0.004045009613037109,0.2872791290283203,0.01093602180480957,0.009860992431640625,0.011758089065551758
22,8.392333984375e-05,0.006491899490356445,0.0031461715698242188,0.24369502067565918,0.010482072830200195,0.010419368743896484,0.011785030364990234
23,9.799003601074219e-05,0.006761074066162109,0.003634929656982422,0.19161224365234375,0.01063990592956543,0.010231733322143555,0.011799097061157227
24,8.797645568847656e-05,0.00666499137878418,0.004049062728881836,0.21921300888061523,0.010116815567016602,0.010256290435791016,0.011699914932250977
25,9.083747863769531e-05,0.007053852081298828,0.003008127212524414,0.22250080108642578,0.010416269302368164,0.01044917106628418,0.011887788772583008
26,0.00016307830810546875,0.00668787956237793,0.002959728240966797,0.21822428703308105,0.009970903396606445,0.010487079620361328,0.01619410514831543
27,9.083747863769531e-05,0.00707697868347168,0.0027022361755371094,0.19742584228515625,0.013047218322753906,0.010173797607421875,0.012944936752319336
28,8.20159912109375e-05,0.007358074188232422,0.0026671886444091797,0.22609782218933105,0.011032819747924805,0.010401010513305664,0.011867046356201172
29,8.273124694824219e-05,0.007464170455932617,0.0028400421142578125,0.20012211799621582,0.013093233108520508,0.010312318801879883,0.012145042419433594
30,9.226799011230469e-05,0.007243633270263672,0.002662181854248047,0.23012399673461914,0.010530710220336914,0.010699987411499023,0.012147903442382812
31,0.000125885009765625,0.007439136505126953,0.0027060508728027344,0.22086095809936523,0.011008977890014648,0.010434865951538086,0.011837005615234375
32,9.012222290039062e-05,0.0071680545806884766,0.0026628971099853516,0.2299959659576416,0.010144948959350586,0.010043859481811523,0.011821746826171875
33,7.486343383789062e-05,0.009994029998779297,0.0027151107788085938,0.21025419235229492,0.010401010513305664,0.010096311569213867,0.011991024017333984
34,6.914138793945312e-05,0.008092880249023438,0.002665996551513672,0.21227312088012695,0.010245800018310547,0.00999903678894043,0.011732101440429688
35,6.914138793945312e-05,0.006654024124145508,0.002644062042236328,0.22658777236938477,0.010270118713378906,0.012474775314331055,0.012581825256347656
36,9.083747863769531e-05,0.00769495964050293,0.0027561187744140625,0.19487285614013672,0.010698080062866211,0.010195016860961914,0.01271200180053711
37,9.012222290039062e-05,0.0075130462646484375,0.0028009414672851562,0.20900392532348633,0.010563135147094727,0.010431051254272461,0.012246847152709961
38,8.7738037109375e-05,0.006470918655395508,0.002905130386352539,0.20255708694458008,0.011728763580322266,0.010515213012695312,0.013031959533691406
39,6.914138793945312e-05,0.0066411495208740234,0.002905130386352539,0.2292652130126953,0.015118122100830078,0.01050424575805664,0.014400959014892578
40,7.390975952148438e-05,0.007797718048095703,0.0027048587799072266,0.2036759853363037,0.010769128799438477,0.010220050811767578,0.012063980102539062
41,7.224082946777344e-05,0.007529020309448242,0.0026199817657470703,0.20722603797912598,0.010460138320922852,0.01008296012878418,0.01264810562133789
42,7.700920104980469e-05,0.0068149566650390625,0.002694845199584961,0.23638081550598145,0.01028585433959961,0.010096073150634766,0.013538122177124023
43,6.508827209472656e-05,0.00687098503112793,0.002733945846557617,0.20555710792541504,0.011046886444091797,0.010313987731933594,0.011934041976928711
44,7.605552673339844e-05,0.006940126419067383,0.002973794937133789,0.2277071475982666,0.011248111724853516,0.010411977767944336,0.013528823852539062
45,6.771087646484375e-05,0.006877899169921875,0.0029120445251464844,0.25193023681640625,0.011450052261352539,0.010107755661010742,0.012178897857666016
46,7.295608520507812e-05,0.006883144378662109,0.0027358531951904297,0.2172691822052002,0.012109041213989258,0.010070085525512695,0.012248039245605469
47,6.914138793945312e-05,0.0068378448486328125,0.0026450157165527344,0.23654890060424805,0.01058506965637207,0.011384010314941406,0.011569976806640625
48,6.008148193359375e-05,0.0068552494049072266,0.0026760101318359375,0.21098017692565918,0.011374235153198242,0.010987043380737305,0.011696100234985352
49,8.797645568847656e-05,0.006545066833496094,0.002596139907836914,0.18969011306762695,0.01223301887512207,0.010725021362304688,0.011612176895141602
50,8.416175842285156e-05,0.00642704963684082,0.002657175064086914,0.19070887565612793,0.010441303253173828,0.011860132217407227,0.01192021369934082
